City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,sekoma,BW,-24.4,23.88,76.48,16,95,9.62,overcast clouds
284,tazovskiy,RU,67.47,78.7,34.25,97,100,15.46,overcast clouds
285,saint george,US,37.1,-113.58,73.4,11,1,1.68,clear sky
286,vallenar,CL,-28.57,-70.76,81.07,16,100,7.52,overcast clouds
287,sfantu gheorghe,RO,45.87,25.78,64.0,68,6,1.99,clear sky
288,ayios nikolaos,GR,38.42,23.65,73.4,78,75,3.36,broken clouds
289,tonstad,NO,58.66,6.72,57.0,79,100,3.0,overcast clouds
290,banjar,ID,-8.19,114.97,80.6,100,40,5.82,light rain
291,turukhansk,RU,65.82,87.98,34.09,96,100,7.02,overcast clouds
292,juegang,CN,32.32,121.19,61.45,73,23,13.51,light rain
293,svetlogorsk,BY,52.63,29.73,63.37,66,100,15.57,light rain
294,lac du bonnet,CA,50.25,-96.06,57.0,93,100,8.99,overcast clouds
295,gat,IL,31.61,34.76,78.01,100,0,1.01,clear sky
296,fuling,CN,29.7,107.39,62.92,91,100,1.83,light rain
297,jensen beach,US,27.25,-80.23,84.99,74,75,11.41,broken clouds
298,novikovo,RU,51.15,37.89,55.02,39,0,9.75,clear sky
299,goderich,CA,43.75,-81.72,54.0,57,96,3.0,overcast clouds
300,kenai,US,60.55,-151.26,45.0,81,1,12.75,clear sky
301,te anau,NZ,-45.42,167.72,50.47,86,71,9.6,heavy intensity rain
302,chapais,CA,49.78,-74.85,33.8,100,90,3.36,light snow
303,mindelo,CV,16.89,-24.98,84.2,51,20,24.16,few clouds
304,chara,RU,56.91,118.26,28.27,85,0,1.39,clear sky
305,gobabis,NA,-22.45,18.97,76.8,17,100,1.99,overcast clouds
306,mangrol,IN,21.12,70.12,80.4,80,0,9.26,clear sky
307,grafton,US,42.21,-71.69,68.0,41,1,3.36,clear sky
308,portland,US,45.52,-122.68,60.8,82,90,5.82,overcast clouds
309,qarqin,AF,37.42,66.04,62.92,27,0,6.24,clear sky
310,lipin bor,RU,60.26,37.98,51.06,87,100,11.97,overcast clouds
311,ambon,ID,-3.7,128.18,75.99,16,75,6.33,broken clouds
312,anadyr,RU,64.75,177.48,30.2,86,75,4.47,light snow
313,patiya,BD,22.29,91.98,76.77,95,99,4.61,light rain
