City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Tuatapere,NZ,2020-10-04 00:40:30,-46.13,167.68,48.99,96,100,5.99
178,Poum,NC,2020-10-04 00:40:30,-20.23,164.02,71.4,66,0,8.43
179,High Prairie,CA,2020-10-04 00:40:30,55.43,-116.49,61.95,62,100,5.77
180,Shimoda,JP,2020-10-04 00:40:30,34.67,138.95,75.2,69,75,6.93
181,Provideniya,RU,2020-10-04 00:40:31,64.38,-173.3,38.89,73,81,11.99
182,Tarko-Sale,RU,2020-10-04 00:40:31,64.92,77.78,30.0,83,100,5.01
183,Hasaki,JP,2020-10-04 00:40:31,35.73,140.83,70.0,88,91,2.24
184,Kushmurun,KZ,2020-10-04 00:40:31,52.45,64.63,46.83,76,94,15.55
185,Sisimiut,GL,2020-10-04 00:40:31,66.94,-53.67,28.85,89,0,8.12
186,College,US,2020-10-04 00:40:31,64.86,-147.8,60.8,45,75,10.29
187,Patzite,GT,2020-10-04 00:40:31,14.97,-91.22,63.0,100,100,2.44
188,Houston,US,2020-10-04 00:36:30,29.76,-95.36,77.0,57,1,10.29
189,Iqaluit,CA,2020-10-04 00:38:31,63.75,-68.51,32.0,96,90,8.05
190,Dutlwe,BW,2020-10-04 00:40:32,-23.98,23.9,61.41,30,40,9.84
191,Jasper,US,2020-10-04 00:40:32,37.2,-94.35,60.8,55,1,5.82
192,Jiangkou,CN,2020-10-04 00:40:32,25.49,119.2,78.8,78,100,2.24
193,Phangnga,TH,2020-10-04 00:40:32,8.45,98.53,77.0,100,40,1.1
194,Lompoc,US,2020-10-04 00:37:31,34.64,-120.46,73.4,53,1,9.17
195,Kenora,CA,2020-10-04 00:40:32,49.82,-94.43,42.8,60,75,2.24
196,Otane,NZ,2020-10-04 00:40:32,-39.88,176.63,74.88,44,0,4.88
197,Salalah,OM,2020-10-04 00:40:33,17.02,54.09,73.4,69,0,5.82
198,Monduli,TZ,2020-10-04 00:40:33,-3.3,36.45,58.95,89,1,4.74
199,Baherden,TM,2020-10-04 00:40:33,38.44,57.43,55.6,36,0,2.48
200,Dulce Grande,MX,2020-10-04 00:40:33,23.0,-102.17,69.8,30,5,12.59
201,Leh,IN,2020-10-04 00:40:33,34.17,77.58,37.13,63,0,2.71
202,Akdepe,TM,2020-10-04 00:40:33,42.06,59.38,46.4,52,16,6.93
203,Carnarvon,AU,2020-10-04 00:40:33,-24.87,113.63,60.8,36,0,21.92
204,Cidreira,BR,2020-10-04 00:40:33,-30.18,-50.21,57.51,92,100,17.29
205,Karratha,AU,2020-10-04 00:36:43,-20.74,116.85,67.95,25,11,25.52
206,Swindon,GB,2020-10-04 00:40:34,51.56,-1.78,48.2,100,90,16.11
207,Le Vauclin,MQ,2020-10-04 00:40:34,14.55,-60.84,80.6,83,54,4.7
208,Coolum Beach,AU,2020-10-04 00:37:45,-26.53,153.1,75.0,57,40,3.0
209,Port Hedland,AU,2020-10-04 00:40:34,-20.32,118.57,68.0,19,68,25.28
210,Lakatoro,VU,2020-10-04 00:40:34,-16.1,167.42,80.22,70,6,14.88
